candidate,office,district,party,county,precinct,total votes,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Richland Twp 9,230,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Richland Twp 9,269,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Richland Twp 9,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Richland Twp 9,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Richland Twp 9,0,
Brent Ottaway,US House,13,DEM,Cambria,Richland Twp 9,,
John Joyce,US House,13,REP,Cambria,Richland Twp 9,,
Write In,US House,13,,Cambria,Richland Twp 9,,
Susan Boser,US House,15,DEM,Cambria,Richland Twp 9,188,
Glenn Gt Thompson,US House,15,REP,Cambria,Richland Twp 9,313,
Write In,US House,15,,Cambria,Richland Twp 9,0,
Bryan Barbin,State House,71,DEM,Cambria,Richland Twp 9,226,
Jim Rigby,State House,71,REP,Cambria,Richland Twp 9,280,
Write In,State House,71,,Cambria,Richland Twp 9,0,
Frank Burns,State House,72,DEM,Cambria,Richland Twp 9,,
Jerry Carnicella,State House,72,REP,Cambria,Richland Twp 9,,
Write In,State House,72,,Cambria,Richland Twp 9,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Richland Twp 9,,
Write In,State House,73,,Cambria,Richland Twp 9,,
Bob Casey,U.S. Senate,,DEM,Cambria,Sankertown Boro,88,
Lou Barletta,U.S. Senate,,REP,Cambria,Sankertown Boro,122,
Neal Gale,U.S. Senate,,GR,Cambria,Sankertown Boro,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Sankertown Boro,2,
Write In,U.S. Senate,,,Cambria,Sankertown Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Sankertown Boro,85,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Sankertown Boro,126,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Sankertown Boro,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Sankertown Boro,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Sankertown Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Sankertown Boro,,
John Joyce,US House,13,REP,Cambria,Sankertown Boro,,
Write In,US House,13,,Cambria,Sankertown Boro,,
Susan Boser,US House,15,DEM,Cambria,Sankertown Boro,80,
Glenn Gt Thompson,US House,15,REP,Cambria,Sankertown Boro,132,
Write In,US House,15,,Cambria,Sankertown Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Sankertown Boro,,
Jim Rigby,State House,71,REP,Cambria,Sankertown Boro,,
Write In,State House,71,,Cambria,Sankertown Boro,,
Frank Burns,State House,72,DEM,Cambria,Sankertown Boro,119,
Jerry Carnicella,State House,72,REP,Cambria,Sankertown Boro,95,
Write In,State House,72,,Cambria,Sankertown Boro,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Sankertown Boro,,
Write In,State House,73,,Cambria,Sankertown Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Scalp Level Boro,113,
Lou Barletta,U.S. Senate,,REP,Cambria,Scalp Level Boro,124,
Neal Gale,U.S. Senate,,GR,Cambria,Scalp Level Boro,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Scalp Level Boro,3,
Write In,U.S. Senate,,,Cambria,Scalp Level Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Scalp Level Boro,108,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Scalp Level Boro,131,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Scalp Level Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Scalp Level Boro,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Scalp Level Boro,1,
Brent Ottaway,US House,13,DEM,Cambria,Scalp Level Boro,,
John Joyce,US House,13,REP,Cambria,Scalp Level Boro,,
Write In,US House,13,,Cambria,Scalp Level Boro,,
Susan Boser,US House,15,DEM,Cambria,Scalp Level Boro,94,
Glenn Gt Thompson,US House,15,REP,Cambria,Scalp Level Boro,147,
Write In,US House,15,,Cambria,Scalp Level Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Scalp Level Boro,122,
Jim Rigby,State House,71,REP,Cambria,Scalp Level Boro,121,
Write In,State House,71,,Cambria,Scalp Level Boro,0,
Frank Burns,State House,72,DEM,Cambria,Scalp Level Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Scalp Level Boro,,
Write In,State House,72,,Cambria,Scalp Level Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Scalp Level Boro,,
Write In,State House,73,,Cambria,Scalp Level Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,South Fork Boro,117,
Lou Barletta,U.S. Senate,,REP,Cambria,South Fork Boro,144,
Neal Gale,U.S. Senate,,GR,Cambria,South Fork Boro,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,South Fork Boro,0,
Write In,U.S. Senate,,,Cambria,South Fork Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,South Fork Boro,119,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,South Fork Boro,141,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,South Fork Boro,6,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,South Fork Boro,0,
Write In,Governor & Lieutenant Governor,,,Cambria,South Fork Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,South Fork Boro,,
John Joyce,US House,13,REP,Cambria,South Fork Boro,,
Write In,US House,13,,Cambria,South Fork Boro,,
Susan Boser,US House,15,DEM,Cambria,South Fork Boro,105,
Glenn Gt Thompson,US House,15,REP,Cambria,South Fork Boro,159,
Write In,US House,15,,Cambria,South Fork Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,South Fork Boro,116,
Jim Rigby,State House,71,REP,Cambria,South Fork Boro,149,
Write In,State House,71,,Cambria,South Fork Boro,0,
Frank Burns,State House,72,DEM,Cambria,South Fork Boro,,
Jerry Carnicella,State House,72,REP,Cambria,South Fork Boro,,
Write In,State House,72,,Cambria,South Fork Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,South Fork Boro,,
Write In,State House,73,,Cambria,South Fork Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Southmont Boro 1,309,
Lou Barletta,U.S. Senate,,REP,Cambria,Southmont Boro 1,344,
Neal Gale,U.S. Senate,,GR,Cambria,Southmont Boro 1,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Southmont Boro 1,3,
Write In,U.S. Senate,,,Cambria,Southmont Boro 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Southmont Boro 1,328,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Southmont Boro 1,339,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Southmont Boro 1,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Southmont Boro 1,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Southmont Boro 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Southmont Boro 1,274,
John Joyce,US House,13,REP,Cambria,Southmont Boro 1,387,
Write In,US House,13,,Cambria,Southmont Boro 1,0,
Susan Boser,US House,15,DEM,Cambria,Southmont Boro 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Southmont Boro 1,,
Write In,US House,15,,Cambria,Southmont Boro 1,,
Bryan Barbin,State House,71,DEM,Cambria,Southmont Boro 1,317,
Jim Rigby,State House,71,REP,Cambria,Southmont Boro 1,351,
Write In,State House,71,,Cambria,Southmont Boro 1,0,
Frank Burns,State House,72,DEM,Cambria,Southmont Boro 1,,
Jerry Carnicella,State House,72,REP,Cambria,Southmont Boro 1,,
Write In,State House,72,,Cambria,Southmont Boro 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Southmont Boro 1,,
Write In,State House,73,,Cambria,Southmont Boro 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Southmont Boro 2,127,
Lou Barletta,U.S. Senate,,REP,Cambria,Southmont Boro 2,144,
Neal Gale,U.S. Senate,,GR,Cambria,Southmont Boro 2,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Southmont Boro 2,3,
Write In,U.S. Senate,,,Cambria,Southmont Boro 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Southmont Boro 2,120,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Southmont Boro 2,152,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Southmont Boro 2,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Southmont Boro 2,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Southmont Boro 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Southmont Boro 2,101,
John Joyce,US House,13,REP,Cambria,Southmont Boro 2,171,
Write In,US House,13,,Cambria,Southmont Boro 2,0,
Susan Boser,US House,15,DEM,Cambria,Southmont Boro 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,Southmont Boro 2,,
Write In,US House,15,,Cambria,Southmont Boro 2,,
Bryan Barbin,State House,71,DEM,Cambria,Southmont Boro 2,119,
Jim Rigby,State House,71,REP,Cambria,Southmont Boro 2,157,
Write In,State House,71,,Cambria,Southmont Boro 2,0,
Frank Burns,State House,72,DEM,Cambria,Southmont Boro 2,,
Jerry Carnicella,State House,72,REP,Cambria,Southmont Boro 2,,
Write In,State House,72,,Cambria,Southmont Boro 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Southmont Boro 2,,
Write In,State House,73,,Cambria,Southmont Boro 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Stonycreek Twp-Wd 1,148,
Lou Barletta,U.S. Senate,,REP,Cambria,Stonycreek Twp-Wd 1,174,
Neal Gale,U.S. Senate,,GR,Cambria,Stonycreek Twp-Wd 1,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Stonycreek Twp-Wd 1,3,
Write In,U.S. Senate,,,Cambria,Stonycreek Twp-Wd 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Stonycreek Twp-Wd 1,146,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Stonycreek Twp-Wd 1,177,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Stonycreek Twp-Wd 1,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Stonycreek Twp-Wd 1,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Stonycreek Twp-Wd 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Stonycreek Twp-Wd 1,120,
John Joyce,US House,13,REP,Cambria,Stonycreek Twp-Wd 1,208,
Write In,US House,13,,Cambria,Stonycreek Twp-Wd 1,0,
Susan Boser,US House,15,DEM,Cambria,Stonycreek Twp-Wd 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Stonycreek Twp-Wd 1,,
Write In,US House,15,,Cambria,Stonycreek Twp-Wd 1,,
Bryan Barbin,State House,71,DEM,Cambria,Stonycreek Twp-Wd 1,146,
Jim Rigby,State House,71,REP,Cambria,Stonycreek Twp-Wd 1,184,
Write In,State House,71,,Cambria,Stonycreek Twp-Wd 1,0,
Frank Burns,State House,72,DEM,Cambria,Stonycreek Twp-Wd 1,,
Jerry Carnicella,State House,72,REP,Cambria,Stonycreek Twp-Wd 1,,
Write In,State House,72,,Cambria,Stonycreek Twp-Wd 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Stonycreek Twp-Wd 1,,
Write In,State House,73,,Cambria,Stonycreek Twp-Wd 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Stonycreek Twp-Wd 2,73,
Lou Barletta,U.S. Senate,,REP,Cambria,Stonycreek Twp-Wd 2,97,
Neal Gale,U.S. Senate,,GR,Cambria,Stonycreek Twp-Wd 2,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Stonycreek Twp-Wd 2,1,
Write In,U.S. Senate,,,Cambria,Stonycreek Twp-Wd 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Stonycreek Twp-Wd 2,73,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Stonycreek Twp-Wd 2,98,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Stonycreek Twp-Wd 2,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Stonycreek Twp-Wd 2,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Stonycreek Twp-Wd 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Stonycreek Twp-Wd 2,57,
John Joyce,US House,13,REP,Cambria,Stonycreek Twp-Wd 2,115,
Write In,US House,13,,Cambria,Stonycreek Twp-Wd 2,1,
Susan Boser,US House,15,DEM,Cambria,Stonycreek Twp-Wd 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,Stonycreek Twp-Wd 2,,
Write In,US House,15,,Cambria,Stonycreek Twp-Wd 2,,
Bryan Barbin,State House,71,DEM,Cambria,Stonycreek Twp-Wd 2,62,
Jim Rigby,State House,71,REP,Cambria,Stonycreek Twp-Wd 2,112,
Write In,State House,71,,Cambria,Stonycreek Twp-Wd 2,0,
Frank Burns,State House,72,DEM,Cambria,Stonycreek Twp-Wd 2,,
Jerry Carnicella,State House,72,REP,Cambria,Stonycreek Twp-Wd 2,,
Write In,State House,72,,Cambria,Stonycreek Twp-Wd 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Stonycreek Twp-Wd 2,,
Write In,State House,73,,Cambria,Stonycreek Twp-Wd 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Stonycreek Twp-Wd 3,152,
Lou Barletta,U.S. Senate,,REP,Cambria,Stonycreek Twp-Wd 3,172,
Neal Gale,U.S. Senate,,GR,Cambria,Stonycreek Twp-Wd 3,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Stonycreek Twp-Wd 3,2,
Write In,U.S. Senate,,,Cambria,Stonycreek Twp-Wd 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Stonycreek Twp-Wd 3,159,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Stonycreek Twp-Wd 3,161,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Stonycreek Twp-Wd 3,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Stonycreek Twp-Wd 3,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Stonycreek Twp-Wd 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Stonycreek Twp-Wd 3,135,
John Joyce,US House,13,REP,Cambria,Stonycreek Twp-Wd 3,189,
Write In,US House,13,,Cambria,Stonycreek Twp-Wd 3,0,
Susan Boser,US House,15,DEM,Cambria,Stonycreek Twp-Wd 3,,
Glenn Gt Thompson,US House,15,REP,Cambria,Stonycreek Twp-Wd 3,,
Write In,US House,15,,Cambria,Stonycreek Twp-Wd 3,,
Bryan Barbin,State House,71,DEM,Cambria,Stonycreek Twp-Wd 3,155,
Jim Rigby,State House,71,REP,Cambria,Stonycreek Twp-Wd 3,170,
Write In,State House,71,,Cambria,Stonycreek Twp-Wd 3,1,
Frank Burns,State House,72,DEM,Cambria,Stonycreek Twp-Wd 3,,
Jerry Carnicella,State House,72,REP,Cambria,Stonycreek Twp-Wd 3,,
Write In,State House,72,,Cambria,Stonycreek Twp-Wd 3,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Stonycreek Twp-Wd 3,,
Write In,State House,73,,Cambria,Stonycreek Twp-Wd 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,Stonycreek Twp-Wd 4,183,
Lou Barletta,U.S. Senate,,REP,Cambria,Stonycreek Twp-Wd 4,207,
Neal Gale,U.S. Senate,,GR,Cambria,Stonycreek Twp-Wd 4,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Stonycreek Twp-Wd 4,3,
Write In,U.S. Senate,,,Cambria,Stonycreek Twp-Wd 4,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Stonycreek Twp-Wd 4,186,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Stonycreek Twp-Wd 4,202,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Stonycreek Twp-Wd 4,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Stonycreek Twp-Wd 4,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Stonycreek Twp-Wd 4,0,
Brent Ottaway,US House,13,DEM,Cambria,Stonycreek Twp-Wd 4,155,
John Joyce,US House,13,REP,Cambria,Stonycreek Twp-Wd 4,236,
Write In,US House,13,,Cambria,Stonycreek Twp-Wd 4,0,
Susan Boser,US House,15,DEM,Cambria,Stonycreek Twp-Wd 4,,
Glenn Gt Thompson,US House,15,REP,Cambria,Stonycreek Twp-Wd 4,,
Write In,US House,15,,Cambria,Stonycreek Twp-Wd 4,,
Bryan Barbin,State House,71,DEM,Cambria,Stonycreek Twp-Wd 4,178,
Jim Rigby,State House,71,REP,Cambria,Stonycreek Twp-Wd 4,218,
Write In,State House,71,,Cambria,Stonycreek Twp-Wd 4,0,
Frank Burns,State House,72,DEM,Cambria,Stonycreek Twp-Wd 4,,
Jerry Carnicella,State House,72,REP,Cambria,Stonycreek Twp-Wd 4,,
Write In,State House,72,,Cambria,Stonycreek Twp-Wd 4,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Stonycreek Twp-Wd 4,,
Write In,State House,73,,Cambria,Stonycreek Twp-Wd 4,,
Bob Casey,U.S. Senate,,DEM,Cambria,Summerhill Boro,83,
Lou Barletta,U.S. Senate,,REP,Cambria,Summerhill Boro,115,
Neal Gale,U.S. Senate,,GR,Cambria,Summerhill Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Summerhill Boro,3,
Write In,U.S. Senate,,,Cambria,Summerhill Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Summerhill Boro,87,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Summerhill Boro,110,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Summerhill Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Summerhill Boro,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Summerhill Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Summerhill Boro,,
John Joyce,US House,13,REP,Cambria,Summerhill Boro,,
Write In,US House,13,,Cambria,Summerhill Boro,,
Susan Boser,US House,15,DEM,Cambria,Summerhill Boro,66,
Glenn Gt Thompson,US House,15,REP,Cambria,Summerhill Boro,136,
Write In,US House,15,,Cambria,Summerhill Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Summerhill Boro,97,
Jim Rigby,State House,71,REP,Cambria,Summerhill Boro,105,
Write In,State House,71,,Cambria,Summerhill Boro,0,
Frank Burns,State House,72,DEM,Cambria,Summerhill Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Summerhill Boro,,
Write In,State House,72,,Cambria,Summerhill Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Summerhill Boro,,
Write In,State House,73,,Cambria,Summerhill Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Summerhill Twp - North,153,
Lou Barletta,U.S. Senate,,REP,Cambria,Summerhill Twp - North,283,
Neal Gale,U.S. Senate,,GR,Cambria,Summerhill Twp - North,8,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Summerhill Twp - North,3,
Write In,U.S. Senate,,,Cambria,Summerhill Twp - North,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Summerhill Twp - North,139,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Summerhill Twp - North,300,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Summerhill Twp - North,8,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Summerhill Twp - North,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Summerhill Twp - North,0,
Brent Ottaway,US House,13,DEM,Cambria,Summerhill Twp - North,,
John Joyce,US House,13,REP,Cambria,Summerhill Twp - North,,
Write In,US House,13,,Cambria,Summerhill Twp - North,,
Susan Boser,US House,15,DEM,Cambria,Summerhill Twp - North,120,
Glenn Gt Thompson,US House,15,REP,Cambria,Summerhill Twp - North,326,
Write In,US House,15,,Cambria,Summerhill Twp - North,0,
Bryan Barbin,State House,71,DEM,Cambria,Summerhill Twp - North,,
Jim Rigby,State House,71,REP,Cambria,Summerhill Twp - North,,
Write In,State House,71,,Cambria,Summerhill Twp - North,,
Frank Burns,State House,72,DEM,Cambria,Summerhill Twp - North,189,
Jerry Carnicella,State House,72,REP,Cambria,Summerhill Twp - North,257,
Write In,State House,72,,Cambria,Summerhill Twp - North,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Summerhill Twp - North,,
Write In,State House,73,,Cambria,Summerhill Twp - North,,
Bob Casey,U.S. Senate,,DEM,Cambria,Summerhill Twp - South,171,
Lou Barletta,U.S. Senate,,REP,Cambria,Summerhill Twp - South,265,
Neal Gale,U.S. Senate,,GR,Cambria,Summerhill Twp - South,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Summerhill Twp - South,2,
Write In,U.S. Senate,,,Cambria,Summerhill Twp - South,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Summerhill Twp - South,162,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Summerhill Twp - South,273,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Summerhill Twp - South,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Summerhill Twp - South,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Summerhill Twp - South,0,
Brent Ottaway,US House,13,DEM,Cambria,Summerhill Twp - South,,
John Joyce,US House,13,REP,Cambria,Summerhill Twp - South,,
Write In,US House,13,,Cambria,Summerhill Twp - South,,
Susan Boser,US House,15,DEM,Cambria,Summerhill Twp - South,145,
Glenn Gt Thompson,US House,15,REP,Cambria,Summerhill Twp - South,296,
Write In,US House,15,,Cambria,Summerhill Twp - South,1,
Bryan Barbin,State House,71,DEM,Cambria,Summerhill Twp - South,,
Jim Rigby,State House,71,REP,Cambria,Summerhill Twp - South,,
Write In,State House,71,,Cambria,Summerhill Twp - South,,
Frank Burns,State House,72,DEM,Cambria,Summerhill Twp - South,212,
Jerry Carnicella,State House,72,REP,Cambria,Summerhill Twp - South,230,
Write In,State House,72,,Cambria,Summerhill Twp - South,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Summerhill Twp - South,,
Write In,State House,73,,Cambria,Summerhill Twp - South,,
Bob Casey,U.S. Senate,,DEM,Cambria,Susquehanna Twp North,121,
Lou Barletta,U.S. Senate,,REP,Cambria,Susquehanna Twp North,266,
Neal Gale,U.S. Senate,,GR,Cambria,Susquehanna Twp North,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Susquehanna Twp North,2,
Write In,U.S. Senate,,,Cambria,Susquehanna Twp North,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Susquehanna Twp North,123,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Susquehanna Twp North,265,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Susquehanna Twp North,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Susquehanna Twp North,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Susquehanna Twp North,0,
Brent Ottaway,US House,13,DEM,Cambria,Susquehanna Twp North,,
John Joyce,US House,13,REP,Cambria,Susquehanna Twp North,,
Write In,US House,13,,Cambria,Susquehanna Twp North,,
Susan Boser,US House,15,DEM,Cambria,Susquehanna Twp North,101,
Glenn Gt Thompson,US House,15,REP,Cambria,Susquehanna Twp North,287,
Write In,US House,15,,Cambria,Susquehanna Twp North,0,
Bryan Barbin,State House,71,DEM,Cambria,Susquehanna Twp North,,
Jim Rigby,State House,71,REP,Cambria,Susquehanna Twp North,,
Write In,State House,71,,Cambria,Susquehanna Twp North,,
