candidate,office,district,party,county,precinct,votes,election_night,absentee
,Ballots Cast,,,Lawrence,0073 WAYNE TWP D2,695,672.0,20.0
,Straight Party,,DEM,Lawrence,0073 WAYNE TWP D2,80,76.0,4.0
,Straight Party,,REP,Lawrence,0073 WAYNE TWP D2,258,253.0,3.0
,Straight Party,,GRN,Lawrence,0073 WAYNE TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0073 WAYNE TWP D2,3,3.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0073 WAYNE TWP D2,263,253.0,9.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0073 WAYNE TWP D2,416,403.0,11.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0073 WAYNE TWP D2,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0073 WAYNE TWP D2,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0073 WAYNE TWP D2,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0073 WAYNE TWP D2,258,247.0,10.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0073 WAYNE TWP D2,426,411.0,10.0
PAUL GLOVER,Governor,,GRN,Lawrence,0073 WAYNE TWP D2,6,6.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0073 WAYNE TWP D2,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0073 WAYNE TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0073 WAYNE TWP D2,225,215.0,9.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0073 WAYNE TWP D2,446,433.0,11.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0073 WAYNE TWP D2,13,13.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0073 WAYNE TWP D2,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0073 WAYNE TWP D2,554,534.0,18.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0073 WAYNE TWP D2,135,132.0,2.0
WRITE-IN,State House,10.0,,Lawrence,0073 WAYNE TWP D2,1,1.0,0.0
,Registered Voters,,,Lawrence,0074 WILMINGTON TWP D1,894,,
,Ballots Cast,,,Lawrence,0074 WILMINGTON TWP D1,575,552.0,21.0
,Straight Party,,DEM,Lawrence,0074 WILMINGTON TWP D1,65,61.0,4.0
,Straight Party,,REP,Lawrence,0074 WILMINGTON TWP D1,285,278.0,6.0
,Straight Party,,GRN,Lawrence,0074 WILMINGTON TWP D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0074 WILMINGTON TWP D1,3,3.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0074 WILMINGTON TWP D1,150,142.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0074 WILMINGTON TWP D1,398,384.0,13.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0074 WILMINGTON TWP D1,4,4.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0074 WILMINGTON TWP D1,7,7.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0074 WILMINGTON TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0074 WILMINGTON TWP D1,161,150.0,10.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0074 WILMINGTON TWP D1,388,377.0,10.0
PAUL GLOVER,Governor,,GRN,Lawrence,0074 WILMINGTON TWP D1,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0074 WILMINGTON TWP D1,9,9.0,0.0
WRITE-IN,Governor,,,Lawrence,0074 WILMINGTON TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0074 WILMINGTON TWP D1,136,131.0,4.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0074 WILMINGTON TWP D1,421,403.0,17.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0074 WILMINGTON TWP D1,9,9.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0074 WILMINGTON TWP D1,1,1.0,0.0
PARKE WENTLING,State House,17.0,REP,Lawrence,0074 WILMINGTON TWP D1,473,456.0,16.0
WRITE-IN,State House,17.0,REP,Lawrence,0074 WILMINGTON TWP D1,16,15.0,0.0
,Registered Voters,,,Lawrence,0075 WILMINGTON TWP D2,924,,
,Ballots Cast,,,Lawrence,0075 WILMINGTON TWP D2,565,540.0,17.0
,Straight Party,,DEM,Lawrence,0075 WILMINGTON TWP D2,71,64.0,3.0
,Straight Party,,REP,Lawrence,0075 WILMINGTON TWP D2,272,263.0,8.0
,Straight Party,,GRN,Lawrence,0075 WILMINGTON TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0075 WILMINGTON TWP D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0075 WILMINGTON TWP D2,167,155.0,5.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0075 WILMINGTON TWP D2,386,373.0,12.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0075 WILMINGTON TWP D2,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0075 WILMINGTON TWP D2,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0075 WILMINGTON TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0075 WILMINGTON TWP D2,166,158.0,5.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0075 WILMINGTON TWP D2,382,369.0,12.0
PAUL GLOVER,Governor,,GRN,Lawrence,0075 WILMINGTON TWP D2,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0075 WILMINGTON TWP D2,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0075 WILMINGTON TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0075 WILMINGTON TWP D2,146,135.0,4.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0075 WILMINGTON TWP D2,407,393.0,13.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0075 WILMINGTON TWP D2,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0075 WILMINGTON TWP D2,0,0.0,0.0
PARKE WENTLING,State House,17.0,REP,Lawrence,0075 WILMINGTON TWP D2,465,450.0,13.0
WRITE-IN,State House,17.0,REP,Lawrence,0075 WILMINGTON TWP D2,20,19.0,1.0
